transaction_id,date,amount,reference,description
B0001,2026-08-01,28828.29,TXN100001,Fee reversal
B0041,2026-08-25,41811.77,TXN100041,Vendor payout
B0018,2026-08-06,27469.53,TXN100018,NEFT credit
B0052,2026-08-24,2868.48,TXN100052,POS settlement
B0016,2026-08-21,12617.12,TXN100016,POS settlement
B0015,2026-08-28,38511.0,TXN100015,Customer refund
B0012,2026-08-27,24909.02,TXN100012,Wallet settlement
B0056,2026-08-28,36389.8,TXN100056,Bank fee / charge
B0005,2026-08-07,1340.14,TXN100005,NEFT credit
B0027,2026-08-05,44880.06,TXN100027,NEFT credit
B0009,2026-08-04,4309.65,TXN100009,POS settlement
B0048,2026-08-24,24334.64,TXN100048,Wallet settlement
B0044,2026-08-18,1093.39,TXN100044,Vendor payout
B0049,2026-08-26,21349.3,TXN100049,Card settlement
B0007,2026-08-06,34182.51,TXN100007,UPI collect
B0024,2026-08-05,6557.79,TXN100024,Vendor payout
B0033,2026-08-14,5153.11,TXN100033,Subscription renewal
B0023,2026-08-16,9686.3,TXN100023,UPI collect
B0042,2026-08-21,44782.45,TXN100042,POS settlement
B0034,2026-08-24,295.55,TXN100034,Fee reversal
B0046,2026-08-28,40758.09,TXN100046,POS settlement
B0008,2026-08-07,12612.53,TXN100008,POS settlement
B0022,2026-08-07,12158.18,TXN100022,Wallet settlement
B0026,2026-08-13,40417.36,TXN100026,POS settlement
B0020,2026-08-11,9999.74,TXN100020,Payment received
B0029,2026-08-26,28290.95,TXN100029,UPI collect
B0006,2026-08-19,10036.76,TXN100006,Fee reversal
B0050,2026-08-04,8689.88,TXN100050,UPI collect
B0003,2026-08-14,4049.21,TXN100003,Payment received
B0055,2026-08-30,11353.82,TXN100055,Bank fee / charge
B0002,2026-08-24,10161.0,TXN100002,Customer refund
B0011,2026-08-30,24199.83,TXN100011,UPI collect
B0031,2026-08-18,23880.78,TXN100031,Payment received
B0039,2026-08-18,44012.6,TXN100039,Subscription renewal
B0037,2026-08-30,1023.53,TXN100037,POS settlement
B0021,2026-08-26,37007.85,TXN100021,POS settlement
B0040,2026-08-28,12037.79,TXN100040,Wallet settlement
B0035,2026-08-10,39192.76,TXN100035,NEFT credit
B0038,2026-08-31,39528.73,TXN100038,Customer refund
B0004,2026-08-08,4352.23,TXN100004,NEFT credit
B0014,2026-08-25,29807.66,TXN100014,Fee reversal
B0053,2026-08-07,11302.24,TXN100053,NEFT credit
B0013,2026-08-23,26044.24,TXN100013,Customer refund
B0010,2026-08-26,27227.11,TXN100010,Payment received
B0032,2026-08-18,30724.71,TXN100032,Fee reversal
B0043,2026-08-08,20399.15,TXN100043,Vendor payout
B0036,2026-08-18,34348.61,TXN100036,NEFT credit
B0047,2026-08-09,23209.9,TXN100047,Card settlement
B0045,2026-08-23,472.51,TXN100045,Payment received
B0028,2026-08-02,4227.29,TXN100028,Customer refund
B0019,2026-08-13,7478.6,TXN100019,Fee reversal
B0030,2026-08-13,2999.22,TXN100030,Wallet settlement
B0054,2026-08-06,6437.18,TXN100054,Bank fee / charge
B0051,2026-08-15,19147.5,TXN100051,Payment received
B0017,2026-08-07,16752.62,TXN100017,Fee reversal
B0025,2026-08-24,24323.13,TXN100025,Wallet settlement
